,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
231,72.0,365620958,82.0,72.0,0.732,XDS,30.0,100.0,2.0,,2022-09-20,10:16
232,66.0,365620939,76.0,60.0,0.061,XDS,30.0,100.0,2.0,,2022-09-20,10:16
233,39.0,365661420,43.0,39.0,0.201,XDS,30.0,100.0,2.0,,2022-09-20,10:16
234,72.0,365689565,80.0,77.0,0.691,XDS,30.0,100.0,3.0,,2022-09-20,10:16
235,74.0,365689586,82.0,85.0,0.619,XDS,30.0,100.0,3.0,,2022-09-20,10:16
236,66.0,365704015,76.0,51.0,0.029,XDS,30.0,30.0,2.0,,2022-09-20,10:16
237,50.0,332761109,55.0,55.0,0.09,XDS,30.0,100.0,3.0,,2022-09-20,10:16
238,66.0,365700720,72.0,66.0,0.064,XDS,30.0,100.0,2.0,,2022-09-20,10:16
239,64.0,332656856,71.0,63.0,0.063,XDS,30.0,100.0,2.0,,2022-09-20,10:16
240,32.0,365678568,21.0,32.0,0.161,XDS,20.0,,3.0,,2022-09-20,10:16
241,66.0,332761110,71.0,66.0,0.042,XDS,30.0,100.0,3.0,,2022-09-20,10:16
242,66.0,365693075,71.0,64.0,0.031,XDS,30.0,100.0,2.0,,2022-09-20,10:16
243,66.0,365679643,71.0,63.0,0.048,XDS,30.0,100.0,2.0,,2022-09-20,10:16
244,39.0,406789039,43.0,40.0,0.19,XDS,30.0,100.0,3.0,,2022-09-20,10:16
245,47.0,406789035,55.0,45.0,0.203,XDS,30.0,100.0,2.0,,2022-09-20,10:16
246,61.0,406789036,69.0,45.0,0.218,XDS,30.0,92.0,2.0,,2022-09-20,10:16
247,53.0,365630140,56.0,53.0,0.26,XDS,20.0,,3.0,,2022-09-20,10:16
248,43.0,332451964,45.0,40.0,0.203,XDS,30.0,100.0,2.0,,2022-09-20,10:16
249,60.0,365642074,58.0,71.0,0.184,XDS,30.0,100.0,3.0,,2022-09-20,10:16
250,60.0,406789037,58.0,35.0,0.238,XDS,30.0,100.0,1.0,,2022-09-20,10:16
251,51.0,365630159,55.0,45.0,0.307,XDS,30.0,40.0,2.0,,2022-09-20,10:16
252,71.0,365644622,69.0,69.0,0.484,XDS,30.0,65.0,3.0,,2022-09-20,10:16
253,71.0,365644588,69.0,56.0,1.084,XDS,30.0,65.0,2.0,,2022-09-20,10:16
254,71.0,365644682,71.0,68.0,0.909,XDS,30.0,100.0,3.0,,2022-09-20,10:16
255,69.0,365644604,71.0,66.0,0.936,XDS,30.0,94.0,3.0,,2022-09-20,10:16
256,63.0,332478998,69.0,55.0,1.144,XDS,30.0,68.0,2.0,,2022-09-20,10:16
257,69.0,365644510,71.0,64.0,1.38,XDS,30.0,100.0,2.0,,2022-09-20,10:16
258,18.0,406789119,21.0,18.0,0.096,XDS,20.0,,2.0,,2022-09-20,10:16
